sku_id,canonical_slug,title_clean,collection_probe,collection_probes_seen,product_url,currency,price_current,price_original,discount_listed,review_count_visible,primary_image_url_probe,catalog_scope,catalog_caveat,source_domain,observed_at,scrape_batch_id,promotion_status
kids-toy-storage-organizer-with-bins,kids-toy-storage-organizer-with-bins,Kids Toy Storage Organizer with Bins,furniture,furniture;storage-shelving,https://labebeclub.com/product/kids-toy-storage-organizer-with-bins,USD,109.99,189.99,,5.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYWFlOTFmOTAxMjUwNjU3ODcwMzM4NDM0X2ltYWdlXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/aae91f901250657870338434_image_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.555701+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,"Kids Wooden Desk & Chair Set with Corkboard, Hutch Storage & Organizer",furniture,furniture,https://labebeclub.com/product/kids-wooden-desk---chair-set-with-corkboard--hutch-storage---organizer,USD,179.99,209.99,14%,11.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNmRhMzIyYjcxMzQ5OTk4MTkwNzI5MTQ1XzkuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo2NDB9LCJyb3RhdGUiOm51bGx9fQ==/6da322b71349998190729145_9.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.555953+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
labrador-plush-rocker,labrador-plush-rocker,Labrador Plush Rocker,all,all;rockers-ride-ons,https://labebeclub.com/product/labrador-plush-rocker,USD,119.99,179.99,,3.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMTc5NTk5ZjkxMjUxNjMwMzE5NzI0NDMwXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/179599f91251630319724430_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:12.108766+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
learning-tower-montessori-kitchen-tower-gray,learning-tower-montessori-kitchen-tower-gray,Learning Tower & Montessori Kitchen Tower (Gray),furniture,furniture,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-gray,USD,55.99,99.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYmU3N2JjYjUxMzA0MTcxNzg3MjMzOTg2LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjQwfSwicm90YXRlIjpudWxsfX0=/be77bcb51304171787233986.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.556104+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
learning-tower-montessori-kitchen-tower-gray-eu,learning-tower-montessori-kitchen-tower-gray-eu,Learning Tower & Montessori Kitchen Tower (Gray) EU,all,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-gray-eu,USD,86.05,116.92,,2.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYmU3N2JjYjUxMzA0MTcxNzg3MjMzOTg2LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/be77bcb51304171787233986.jpg,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,labebeclub.com,2026-04-27T16:42:12.108439+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
learning-tower-montessori-kitchen-tower-log-color,learning-tower-montessori-kitchen-tower-log-color,Learning Tower & Montessori Kitchen Tower (Log Color),all,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-log-color,USD,76.69,105.23,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMmQ0NmM5NjAxMzExNDQ0NzQzOTI1MTMzXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/2d46c9601311444743925133_1.jpg,site_all_only,Observed on all-products page only; needs category placement confirmation.,labebeclub.com,2026-04-27T16:42:12.107460+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
learning-tower-montessori-kitchen-tower-unicorn-design,learning-tower-montessori-kitchen-tower-unicorn-design,Learning Tower & Montessori Kitchen Tower (Unicorn Design),all,all;furniture,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-unicorn-design,USD,59.99,109.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvMjNjMDFlNDkxMzExNDM4Nzg4MDEzNTAzXzEuanBnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/23c01e491311438788013503_1.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:12.110330+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
learning-tower-montessori-kitchen-tower-white,learning-tower-montessori-kitchen-tower-white,Learning Tower & Montessori Kitchen Tower (White),furniture,furniture,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-white,USD,55.99,99.99,,,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYzM0YmRkY2MxMzIyMzAxODU5MjIwNDc0LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NjQwfSwicm90YXRlIjpudWxsfX0=/c34bddcc1322301859220474.jpg,core_product,Observed in category probe; usable for DTC fact layer after PDP/spec recrawl.,labebeclub.com,2026-04-27T16:42:45.556069+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
learning-tower-montessori-kitchen-tower-white-eu,learning-tower-montessori-kitchen-tower-white-eu,Learning Tower & Montessori Kitchen Tower (White) EU,all,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-white-eu,USD,81.61,105.23,,3.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvYzM0YmRkY2MxMzIyMzAxODU5MjIwNDc0LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDgwfSwicm90YXRlIjpudWxsfX0=/c34bddcc1322301859220474.jpg,regional_variant,EU/regional variant; keep separate from US DTC and Amazon US identity.,labebeclub.com,2026-04-27T16:42:12.110608+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
learning-tower-montessori-kitchen-tower-with-slide,learning-tower-montessori-kitchen-tower-with-slide,Learning Tower & Montessori Kitchen Tower with Slide,all,all,https://labebeclub.com/product/learning-tower-montessori-kitchen-tower-with-slide,USD,107.18,135.39,,3.0,https://image.cdn.ishopastro.com/eyJidWNrZXQiOiJwcm9kLW1lZGlhLW15c2hvcGFzdHJvLWNvbSIsImtleSI6IjEyMTI5MjIwOTM4NjY2MjcvbWVkaWEvaW1hZ2UvNTY2NDYwNGMxMzIxNTc3NzEyNjM0MDY5XzIwMjUxMjI5LTEzMzkxNi5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo0ODB9LCJyb3RhdGUiOm51bGx9fQ==/5664604c1321577712634069_20251229-133916.jpeg,site_all_only,Observed on all-products page only; needs category placement confirmation.,labebeclub.com,2026-04-27T16:42:12.110412+00:00,labebe_live_probe_20260428,probe_only_needs_pdp_specs_claim_gate
