sku_id,dtc_title,dtc_price,dtc_review_count_visible,asin,amazon_rank,amazon_title,amazon_price,amazon_rating_text,amazon_review_count_text,amazon_url,amazon_image,labebe_like,candidate_score,duplicate_top_asin_count,search_candidate_status,search_candidate_note,screenshot
yak-plush-rocker,Yak Plush Rocker,105.99,3.0,B07Z3DXVQT,1,"Plush Rocking Horse, Mammoth Rocker, Stuffed Rocker Toy for Child 1-3 Year Old, Kid Ride On Toy Wooden, Rocking Animal for Infant/Toddler Girl&Boy, Nursery Birthday Gift",$85.49,"4.7 out of 5 stars, rating details",323.0,https://www.amazon.com/labebe-Rocking-Mammoth-Stuffed-Birthday/dp/B07Z3DXVQT,https://m.media-amazon.com/images/I/71uAEj+oQKL._AC_UL320_.jpg,True,90,2,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/yak-plush-rocker.png
classic-montessori-baby-push-walker,Classic Montessori Baby Push Walker,53.99,2.0,B0D6YX3XG1,1,"Wooden Baby Walker, Baby Push Walker, Tool Toy for Toddlers, Adjustable Speed Baby Walker with Wheel, Learning Activity Walker for Girls Boys",$49.99,"4.5 out of 5 stars, rating details",132.0,https://www.amazon.com/labebe-Toddlers-Adjustable-Learning-Activity/dp/B0D6YX3XG1,https://m.media-amazon.com/images/I/61TbBP7kioL._AC_UL320_.jpg,True,85,3,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/classic-montessori-baby-push-walker.png
farm-themed-baby-push-walker,Farm-Themed Baby Push Walker,52.99,,B0F8PZ7KZQ,1,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",$50.99,"4.6 out of 5 stars, rating details",73.0,https://www.amazon.com/labebe-Stroller-Activity-Adjustable-Learning/dp/B0F8PZ7KZQ,https://m.media-amazon.com/images/I/71mumCM4XQL._AC_UL320_.jpg,True,85,4,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/farm-themed-baby-push-walker.png
midnight-serenity-wooden-play-kitchen-set,Midnight Serenity Wooden Play Kitchen Set,129.99,10.0,B0FH1KX7XQ,1,"Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play","JPY 20,701","4.4 out of 5 stars, rating details",25.0,https://www.amazon.com/labebe-Kitchen-Toddlers-Realistic-Accessories/dp/B0FH1KX7XQ,https://m.media-amazon.com/images/I/71UyVIcwF-L._AC_UL320_.jpg,True,85,3,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/midnight-serenity-wooden-play-kitchen-set.png
ice-cream-cart-baby-push-walker,Ice Cream Cart Baby Push Walker,65.99,3.0,B0F8PZ7KZQ,1,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",$50.99,"4.6 out of 5 stars, rating details",73.0,https://www.amazon.com/labebe-Stroller-Activity-Adjustable-Learning/dp/B0F8PZ7KZQ,https://m.media-amazon.com/images/I/71mumCM4XQL._AC_UL320_.jpg,True,82,4,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/ice-cream-cart-baby-push-walker.png
stylish-wooden-kids-kitchen-playset,Stylish Wooden Kids Kitchen Playset,119.99,4.0,B0FH1KX7XQ,1,"Play Kitchen for Kids Indoor Pretend Play, Wood Toy Set with 2 Storage Boxes, Stove, Sink, Ice Maker, Pots and Pans, Kitchen Set for Cooking Play",$129.99,"4.4 out of 5 stars, rating details",25.0,https://www.amazon.com/labebe-Kitchen-Toddlers-Realistic-Accessories/dp/B0FH1KX7XQ,https://m.media-amazon.com/images/I/71UyVIcwF-L._AC_UL320_.jpg,True,80,3,pdp_queue_variant_cluster,Labebe-like ASIN is shared by multiple DTC SKUs; run PDP variation and image gate before mapping.,qa/marketplace_probe/amazon_search_candidates_full_v1/stylish-wooden-kids-kitchen-playset.png
doll-stroller-baby-push-walker,Doll Stroller Baby Push Walker,60.99,,B0F8PZ7KZQ,1,"Wooden Baby Walker, Baby Push Walker Doll Stroller, Push Activity Walker for Kids 18M+, Adjustable Speed Learning Walking with Wheels, Birthday Gift for Girls Boys Ages 1-3",$50.99,"4.6 out of 5 stars, rating details",73.0,,https://m.media-amazon.com/images/I/71mumCM4XQL._AC_UL320_.jpg,False,55,4,search_competitor_or_generic_top_result,Top result appears to be a competitor or generic category result; keep as discovery context only.,qa/marketplace_probe/amazon_search_candidates_full_v1/doll-stroller-baby-push-walker.png
elephant-activity-wall-busy-board-panel,Elephant Activity Wall Busy Board Panel,95.99,,B0F4R13P6M,1,"Elephant Activity Wall Busy Board Panels,Wooden Montessori Learning Activity Center Sensory Toys Wooden Sensory Wall Panel for Kids Ideal Furniture for Playroom Daycare Dentist Waiting Room Nursery",$92.99,"4.4 out of 5 stars, rating details",39.0,https://www.amazon.com/Elephant-Activity-Montessori-Learning-Furniture/dp/B0F4R13P6M,https://m.media-amazon.com/images/I/71ovu3MdglL._AC_UL320_.jpg,False,55,1,search_competitor_or_generic_top_result,Top result appears to be a competitor or generic category result; keep as discovery context only.,qa/marketplace_probe/amazon_search_candidates_full_v1/elephant-activity-wall-busy-board-panel.png
kids-toy-storage-organizer-bookshelf-with-bins,Kids Toy Storage Organizer & Bookshelf with Bins,105.99,7.0,B0G29XHR28,1,"Kids Bookshelf and Toy Storage Organizer with 3-Tier Book Display and Shelves, Kids Toy Organizers and Storage with Bins, Book Shelf for Kids Rooms, Playroom Decor for Toddler Bedroom Nursery","JPY 7,961","3.2 out of 5 stars, rating details",43.0,https://www.amazon.com/Bookshelf-Storage-Organizer-Organizers-Playroom/dp/B0G29XHR28,https://m.media-amazon.com/images/I/71ZcdMKAj8L._AC_UL320_.jpg,False,55,1,search_competitor_or_generic_top_result,Top result appears to be a competitor or generic category result; keep as discovery context only.,qa/marketplace_probe/amazon_search_candidates_full_v1/kids-toy-storage-organizer-bookshelf-with-bins.png
llama-plush-rocker,Llama Plush Rocker,105.99,7.0,B07MFXJ28Y,1,"Baby Rocking Horse Wooden, Plush Stuffed Rocking Animals White, Kid Ride on Toys for 1-3 Years Old, Llama Rocking Horse for Girl&Boy, Toddler/Infant Rocker for Nursery, Kid Riding Toys/Horse",$129.99,"4.7 out of 5 stars, rating details",358.0,https://www.amazon.com/%E3%80%90New%E3%80%91-labebe-Rocking-Stuffed-Birthday/dp/B07MFXJ28Y,https://m.media-amazon.com/images/I/51mzXVQoCBL._AC_UL320_.jpg,False,55,1,search_competitor_or_generic_top_result,Top result appears to be a competitor or generic category result; keep as discovery context only.,qa/marketplace_probe/amazon_search_candidates_full_v1/llama-plush-rocker.png
